id,lap,lap_time,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name,place_of_birth,lat_birth,long_birth,team,bike
207,6,1'53.211,27.966,30.418,27.027,27.8,348.3,113.211,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
208,7,1'52.993,27.86,30.249,27.04,27.844,348.3,112.993,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
209,8,1'53.273,27.981,30.465,27.003,27.824,348.3,113.273,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
210,9,1'52.874,27.812,30.31,26.931,27.821,347.2,112.874,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
211,10,1'52.967,27.89,30.436,26.946,27.695,348.3,112.967,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
212,11,1'53.101,27.829,30.45,27.073,27.749,347.2,113.101,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
213,12,1'53.132,27.91,30.357,27.058,27.807,348.3,113.132,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
214,13,1'53.235,27.872,30.441,27.152,27.77,349.5,113.235,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
215,14,1'53.353,27.876,30.476,27.137,27.864,349.5,113.353,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
216,15,1'53.451,27.927,30.455,27.166,27.903,349.5,113.451,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
217,16,1'53.226,27.948,30.381,27.044,27.853,347.2,113.226,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
218,17,1'53.250,27.948,30.359,27.123,27.82,348.3,113.25,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
219,18,1'53.151,27.924,30.353,27.09,27.784,347.2,113.151,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
220,19,1'53.665,27.994,30.494,27.205,27.972,347.2,113.665,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
221,20,1'54.314,28.249,30.881,27.236,27.948,347.2,114.314,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
222,21,1'54.035,28.114,30.654,27.258,28.009,347.2,114.035,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
223,1,1'56.274,30.195,30.998,27.157,27.924,204.5,116.274,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
224,2,1'53.315,28.069,30.374,27.028,27.844,346.1,113.315,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
225,3,1'53.212,27.944,30.492,27.008,27.768,345,113.212,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
226,4,1'53.236,27.921,30.549,27.054,27.712,352.9,113.236,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
227,5,1'53.249,27.912,30.401,27.122,27.814,352.9,113.249,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
228,6,1'53.467,27.888,30.544,27.221,27.814,350.6,113.467,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
229,7,1'52.909,27.794,30.361,27.023,27.731,355.2,112.909,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
230,8,1'53.026,27.804,30.429,27.061,27.732,354,113.026,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
231,9,1'53.101,27.865,30.43,27.078,27.728,351.7,113.101,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
232,10,1'53.172,27.831,30.404,27.118,27.819,354,113.172,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
233,11,1'53.263,27.903,30.509,27.086,27.765,350.6,113.263,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
234,12,1'53.328,27.968,30.403,27.137,27.82,351.7,113.328,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
235,13,1'53.206,27.831,30.437,27.159,27.779,352.9,113.206,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
236,14,1'53.357,27.961,30.394,27.16,27.842,351.7,113.357,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
237,15,1'53.514,27.909,30.509,27.27,27.826,351.7,113.514,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
238,16,1'53.296,27.868,30.447,27.096,27.885,350.6,113.296,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
239,17,1'53.579,27.971,30.576,27.062,27.97,351.7,113.579,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
240,18,1'53.877,27.958,30.59,27.371,27.958,350.6,113.877,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
241,19,1'53.990,27.972,30.682,27.389,27.947,347.2,113.99,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
242,20,1'53.585,28.141,30.486,27.126,27.832,348.3,113.585,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
243,21,1'54.074,28.1,30.696,27.324,27.954,348.3,114.074,49,49,Fabio,Di Giannantonio,Rome,41.89332,12.48293,VR46,Ducati GP23
370,1,1'58.432,30.718,31.8,27.836,28.078,218.6,118.432,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
371,2,1'53.517,28.16,30.439,27.023,27.895,354,113.517,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
372,3,1'53.539,27.837,30.496,27.186,28.02,356.4,113.539,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
373,4,1'53.817,27.955,30.648,27.18,28.034,352.9,113.817,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
374,5,1'53.740,27.979,30.51,27.234,28.017,354,113.74,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
375,6,1'54.809,28.247,30.825,27.481,28.256,351.7,114.809,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
376,7,1'53.659,27.966,30.486,27.221,27.986,352.9,113.659,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
377,8,1'53.547,27.88,30.4,27.297,27.97,352.9,113.547,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
378,9,1'53.584,27.933,30.492,27.144,28.015,355.2,113.584,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
379,10,1'53.546,27.9,30.52,27.163,27.963,355.2,113.546,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
380,11,1'53.699,28.1,30.53,27.201,27.868,354,113.699,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
381,12,1'53.590,27.953,30.444,27.209,27.984,354,113.59,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
382,13,1'53.546,27.933,30.472,27.229,27.912,354,113.546,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
383,14,1'54.195,27.941,30.687,27.409,28.158,356.4,114.195,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
384,15,1'54.372,28.313,30.953,27.244,27.862,356.4,114.372,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
385,16,1'53.773,28.084,30.558,27.23,27.901,351.7,113.773,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
386,17,1'53.342,27.955,30.38,27.156,27.851,351.7,113.342,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
387,18,1'54.131,27.89,30.452,27.502,28.287,354,114.131,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
388,19,1'53.354,27.965,30.403,27.114,27.872,354,113.354,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
389,20,1'53.874,27.955,30.597,27.34,27.982,354,113.874,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
390,21,1'53.997,27.908,30.614,27.347,28.128,352.9,113.997,72,72,Marco,Bezzecchi,Rimini,44.05939,12.56844,VR46,Ducati GP23
